,Player,Tm,G,3P,3P%,2P,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,ORB%,DRB%,AST%,STL%,BLK%,USG%,PG%,SG%,SF%,PF%,C%,PGA,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,C3%3PA,C33P%,Season,TruePos
6349,Corey Brewer,MIN,15.0,0.3,0.417,2.1,0.41,0.737,1.2,2.1,1.7,1.0,0.2,0.9,6.2,6.6,12.3,12.9,2.6,0.8,16.3,0.0,81.0,19.0,0.0,0.0,54.0,11.0,11.5,0.867,0.389,0.067,0.067,0.344,0.133,0.514,0.167,0.5,0.323,0.625,1.0,0.044,0.583,0.571,,2.19
6350,Ronnie Brewer,UTA,81.0,0.3,0.259,4.9,0.537,0.702,1.2,2.5,2.2,1.7,0.4,1.4,13.7,4.6,9.1,10.9,2.7,0.9,18.8,0.0,12.0,84.0,5.0,0.0,398.0,61.0,9.5,0.897,0.517,0.037,0.047,0.296,0.103,0.645,0.355,0.333,0.404,0.727,1.0,0.171,0.035,0.0,,2.96
6351,Aaron Brooks,HOU,80.0,1.4,0.366,2.5,0.428,0.866,0.4,1.6,3.0,0.6,0.1,1.6,11.2,2.0,7.0,20.2,1.2,0.3,22.9,100.0,0.0,0.0,0.0,0.0,544.0,55.0,14.8,0.605,0.269,0.135,0.095,0.106,0.395,0.469,0.358,0.378,0.458,0.202,0.664,0.001,0.146,0.422,,1.0
6352,Bobby Brown,TOT,68.0,0.7,0.346,1.4,0.417,0.791,0.2,0.6,1.7,0.3,0.0,0.9,5.3,1.7,4.8,20.9,1.2,0.2,21.3,44.0,55.0,0.0,0.0,0.0,262.0,17.0,16.9,0.639,0.197,0.075,0.058,0.308,0.361,0.437,0.296,0.476,0.423,0.24,0.667,0.019,0.185,0.458,,1.54
6353,Dee Brown,TOT,19.0,0.4,0.292,0.6,0.44,0.6,0.4,1.2,1.9,0.5,0.0,0.9,2.4,3.1,10.1,19.8,2.0,0.0,11.8,100.0,0.0,0.0,0.0,0.0,84.0,1.0,14.6,0.51,0.367,0.061,0.02,0.061,0.49,0.611,0.0,0.0,0.0,0.364,0.857,0.0,0.125,0.333,,1.0
6354,Devin Brown,NOH,63.0,0.4,0.289,1.3,0.384,0.78,0.5,1.4,0.9,0.5,0.1,0.9,5.2,4.3,12.2,10.2,2.0,0.5,22.8,25.0,74.0,1.0,0.0,0.0,129.0,30.0,12.1,0.69,0.358,0.115,0.086,0.131,0.31,0.473,0.417,0.185,0.244,0.41,0.964,0.013,0.227,0.318,,1.76
6355,Kwame Brown,DET,58.0,0.0,,1.6,0.533,0.516,1.6,3.4,0.6,0.4,0.4,0.9,4.2,10.7,24.0,4.9,1.3,1.9,13.0,0.0,0.0,0.0,0.0,100.0,71.0,16.0,3.0,1.0,0.68,0.189,0.112,0.018,0.0,0.609,0.5,0.211,0.0,0.711,,0.154,,,,5.0
6356,Shannon Brown,TOT,48.0,0.3,0.378,1.3,0.5,0.821,0.2,0.7,0.8,0.5,0.1,0.8,4.2,2.8,8.1,13.7,2.5,1.2,21.4,28.0,68.0,4.0,0.0,0.0,87.0,12.0,11.2,0.776,0.467,0.048,0.091,0.17,0.224,0.584,0.5,0.467,0.286,0.547,0.929,0.109,0.324,0.583,,1.76
6357,Kobe Bryant*,LAL,82.0,1.4,0.351,8.3,0.496,0.856,1.1,4.1,4.9,1.5,0.5,2.6,26.8,3.5,12.8,23.8,2.1,1.0,32.2,6.0,94.0,0.0,0.0,0.0,914.0,64.0,14.0,0.804,0.203,0.12,0.181,0.299,0.196,0.664,0.461,0.448,0.424,0.326,0.644,0.036,0.086,0.414,,1.94
6358,Greg Buckner,MEM,63.0,0.2,0.255,0.8,0.444,0.8,0.5,1.6,0.9,0.5,0.1,0.6,2.5,4.4,13.9,9.9,1.8,0.7,11.1,1.0,45.0,53.0,1.0,0.0,132.0,11.0,12.7,0.679,0.352,0.094,0.075,0.157,0.321,0.464,0.467,0.5,0.36,0.604,1.0,0.006,0.431,0.364,,2.54
6359,Caron Butler,WAS,67.0,1.0,0.31,6.4,0.487,0.858,1.8,4.4,4.3,1.6,0.3,3.1,20.8,5.2,13.8,19.7,2.2,0.6,25.9,0.0,40.0,59.0,0.0,0.0,646.0,68.0,13.5,0.806,0.282,0.1,0.116,0.308,0.194,0.641,0.422,0.397,0.401,0.408,0.431,0.027,0.176,0.297,,2.57
6360,Rasual Butler,NOH,82.0,1.7,0.39,2.5,0.468,0.782,0.6,2.7,0.9,0.6,0.7,0.7,11.2,2.3,10.2,4.8,1.1,2.0,16.8,0.0,46.0,48.0,7.0,0.0,168.0,25.0,17.5,0.553,0.143,0.064,0.101,0.245,0.447,0.67,0.392,0.383,0.406,0.678,0.929,0.037,0.443,0.459,,2.64
6361,Andrew Bynum,LAL,50.0,0.0,,5.6,0.56,0.707,2.7,5.2,1.4,0.4,1.8,1.7,14.3,10.8,20.1,7.7,0.6,4.8,20.7,0.0,0.0,0.0,0.0,100.0,160.0,37.0,4.2,1.0,0.522,0.343,0.102,0.034,0.0,0.687,0.442,0.431,0.176,0.637,,0.209,,,,5.0
