,Player,Tm,G,3P,3P%,2P,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,ORB%,DRB%,AST%,STL%,BLK%,USG%,PG%,SG%,SF%,PF%,C%,PGA,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,C3%3PA,C33P%,Season,TruePos
3307,DeJuan Blair,WAS,29.0,0.0,0.0,1.0,0.418,0.385,0.7,1.3,0.4,0.3,0.1,0.5,2.1,10.1,19.4,7.3,1.8,0.7,17.8,0.0,0.0,0.0,1.0,99.0,27.0,4.0,8.2,0.985,0.382,0.25,0.221,0.132,0.015,0.538,0.294,0.4,0.333,0.821,,0.0,0.0,,,4.99
3308,Steve Blake,DET,58.0,0.9,0.344,0.7,0.461,0.8,0.2,1.4,3.4,0.4,0.1,1.4,4.4,1.0,9.2,29.5,1.2,0.4,14.6,100.0,0.0,0.0,0.0,0.0,477.0,10.0,21.0,0.371,0.104,0.05,0.058,0.158,0.629,0.72,0.25,0.214,0.447,0.195,0.712,0.0,0.258,0.462,,1.0
3309,Eric Bledsoe,PHO,31.0,1.5,0.372,5.6,0.482,0.802,0.6,3.5,6.1,2.0,0.6,3.5,20.4,1.8,11.2,31.8,2.9,1.5,27.2,86.0,14.0,0.0,0.0,0.0,447.0,25.0,12.8,0.738,0.264,0.161,0.093,0.22,0.262,0.585,0.367,0.543,0.417,0.143,0.479,0.01,0.109,0.143,,1.14
3310,Bojan Bogdanović,BRK,79.0,1.6,0.382,2.5,0.474,0.833,0.5,2.8,1.3,0.4,0.1,1.5,11.2,1.9,11.8,7.3,0.7,0.2,19.4,0.0,30.0,63.0,5.0,2.0,227.0,74.0,14.3,0.549,0.258,0.147,0.076,0.069,0.451,0.601,0.336,0.316,0.462,0.59,0.907,0.024,0.402,0.426,,2.79
3311,Andrew Bogut,GSW,70.0,0.0,1.0,2.5,0.626,0.48,1.7,5.3,2.3,0.5,1.6,1.2,5.4,9.5,26.0,14.8,1.1,5.8,11.4,0.0,0.0,0.0,0.0,100.0,392.0,7.0,2.7,0.996,0.677,0.258,0.047,0.014,0.004,0.757,0.375,0.231,0.25,0.764,0.0,0.297,0.0,,,5.0
3312,Matt Bonner,SAS,30.0,0.5,0.441,0.5,0.609,0.75,0.1,0.8,0.3,0.2,0.0,0.1,2.5,1.7,12.8,6.3,1.5,0.4,13.7,0.0,0.0,0.0,48.0,52.0,22.0,2.0,19.2,0.404,0.123,0.105,0.07,0.105,0.596,0.429,0.833,0.75,0.5,0.714,1.0,0.0,0.147,0.4,,4.52
3313,Devin Booker,PHO,76.0,1.3,0.343,3.5,0.464,0.84,0.4,2.1,2.6,0.6,0.3,2.1,13.8,1.4,8.4,15.8,1.0,0.8,23.0,3.0,82.0,14.0,1.0,0.0,470.0,64.0,14.6,0.667,0.212,0.129,0.106,0.219,0.333,0.641,0.411,0.37,0.368,0.455,0.788,0.012,0.194,0.375,,2.13
3314,Trevor Booker,UTA,79.0,0.2,0.293,2.3,0.513,0.67,2.1,3.6,1.1,0.7,0.5,1.0,5.9,11.9,20.4,8.2,1.9,2.1,14.6,0.0,0.0,0.0,96.0,4.0,210.0,18.0,5.8,0.894,0.601,0.186,0.039,0.07,0.106,0.635,0.306,0.133,0.222,0.596,1.0,0.168,0.78,0.344,,4.04
3315,Chris Bosh*,MIA,53.0,1.5,0.365,5.2,0.508,0.795,0.9,6.5,2.4,0.7,0.6,1.5,19.1,3.2,21.1,12.1,1.0,1.5,24.7,0.0,0.0,0.0,55.0,45.0,295.0,32.0,14.5,0.711,0.206,0.086,0.149,0.27,0.289,0.715,0.364,0.456,0.425,0.606,0.975,0.034,0.257,0.386,,4.45
3316,Avery Bradley,BOS,76.0,1.9,0.361,4.1,0.505,0.78,0.6,2.3,2.1,1.5,0.3,1.4,15.2,2.0,7.3,9.8,2.2,0.6,19.8,10.0,76.0,14.0,0.0,0.0,352.0,44.0,16.4,0.601,0.216,0.034,0.042,0.309,0.399,0.718,0.4,0.349,0.387,0.647,0.912,0.025,0.329,0.313,,2.04
3317,Elton Brand,PHI,17.0,0.0,0.0,1.8,0.437,0.889,0.5,3.2,1.1,0.5,0.5,0.6,4.1,4.2,27.0,13.1,2.0,2.7,16.9,0.0,0.0,0.0,10.0,90.0,47.0,2.0,10.9,0.986,0.153,0.125,0.514,0.194,0.014,0.727,0.444,0.27,0.643,0.839,,0.0,1.0,0.0,,4.9
3318,Corey Brewer,HOU,82.0,0.7,0.272,1.8,0.46,0.75,0.5,1.9,1.3,1.0,0.2,1.0,7.2,2.8,10.4,10.0,2.5,0.9,17.8,0.0,5.0,83.0,12.0,0.0,257.0,27.0,13.1,0.594,0.33,0.149,0.051,0.065,0.406,0.593,0.268,0.393,0.278,0.682,0.951,0.029,0.625,0.293,,3.07
3319,Aaron Brooks,CHI,69.0,1.0,0.357,1.8,0.43,0.766,0.3,1.2,2.6,0.4,0.1,1.2,7.1,2.0,7.5,26.0,1.4,0.7,22.9,100.0,0.0,0.0,0.0,0.0,429.0,34.0,14.4,0.606,0.237,0.186,0.102,0.083,0.394,0.468,0.425,0.396,0.359,0.09,0.576,0.0,0.086,0.375,,1.0
3320,Anthony Brown,LAL,29.0,0.7,0.286,0.7,0.339,0.85,0.3,2.1,0.7,0.5,0.2,0.5,4.0,1.6,11.3,4.8,1.2,0.7,11.0,0.0,5.0,95.0,1.0,0.0,45.0,10.0,18.1,0.444,0.143,0.063,0.087,0.151,0.556,0.389,0.125,0.455,0.316,0.684,0.95,0.008,0.314,0.318,,2.99
3321,Markel Brown,BRK,62.0,0.6,0.314,1.4,0.443,0.755,0.4,1.6,1.5,0.6,0.2,0.9,5.9,2.6,11.5,13.9,2.0,1.2,18.9,5.0,90.0,5.0,0.0,0.0,202.0,10.0,14.6,0.624,0.255,0.109,0.04,0.22,0.376,0.573,0.314,0.385,0.366,0.528,0.842,0.056,0.322,0.436,,2.0
3322,Kobe Bryant*,LAL,66.0,2.0,0.285,4.0,0.41,0.826,0.6,3.1,2.8,0.9,0.2,2.0,17.6,2.3,12.3,19.1,1.7,0.5,32.2,0.0,2.0,97.0,1.0,0.0,416.0,35.0,17.3,0.58,0.093,0.102,0.173,0.213,0.42,0.644,0.398,0.411,0.312,0.328,0.692,0.004,0.126,0.322,,2.99
3323,Chase Budinger,TOT,66.0,0.4,0.279,1.2,0.523,0.696,0.7,1.6,1.0,0.5,0.2,0.7,4.1,5.0,12.6,10.2,1.7,0.9,14.5,0.0,7.0,63.0,30.0,0.0,144.0,12.0,11.9,0.64,0.364,0.142,0.063,0.071,0.36,0.678,0.324,0.4,0.235,0.6,0.958,0.059,0.43,0.27,,3.23
3324,Reggie Bullock,DET,37.0,0.6,0.415,0.6,0.467,0.933,0.4,1.5,0.7,0.3,0.1,0.2,3.3,3.4,14.3,9.2,1.2,0.4,11.4,0.0,40.0,60.0,0.0,0.0,64.0,5.0,16.6,0.459,0.204,0.051,0.112,0.092,0.541,0.55,0.4,0.364,0.444,0.619,1.0,0.02,0.491,0.5,,2.6
3325,Trey Burke,UTA,64.0,1.4,0.344,2.7,0.46,0.817,0.3,1.5,2.3,0.5,0.1,1.3,10.6,1.5,8.0,19.7,1.4,0.4,25.3,100.0,0.0,0.0,0.0,0.0,339.0,33.0,16.2,0.596,0.159,0.117,0.118,0.202,0.404,0.525,0.392,0.48,0.438,0.144,0.909,0.0,0.215,0.345,,1.0
3326,Alec Burks,UTA,31.0,1.0,0.405,3.4,0.412,0.752,0.5,3.0,2.0,0.6,0.1,1.6,13.3,2.4,13.6,13.9,1.2,0.4,25.9,30.0,69.0,0.0,0.0,0.0,146.0,27.0,12.1,0.763,0.278,0.168,0.132,0.186,0.237,0.57,0.321,0.341,0.306,0.238,0.625,0.024,0.354,0.429,,1.68
3327,Caron Butler,SAC,17.0,0.2,0.167,1.3,0.537,0.833,0.3,1.0,0.6,0.5,0.1,0.2,3.7,3.1,10.4,8.3,2.5,0.5,16.2,0.0,7.0,85.0,8.0,0.0,24.0,0.0,18.8,0.695,0.034,0.051,0.153,0.458,0.305,0.5,0.667,0.667,0.481,0.636,1.0,0.0,0.278,0.2,,3.01
3328,Jimmy Butler,CHI,67.0,1.0,0.312,6.1,0.489,0.832,1.2,4.2,4.8,1.6,0.6,2.0,20.9,3.4,11.6,21.4,2.2,1.3,24.4,1.0,81.0,18.0,0.0,0.0,742.0,56.0,12.0,0.802,0.313,0.12,0.131,0.236,0.198,0.673,0.363,0.36,0.385,0.441,0.719,0.071,0.176,0.361,,2.17
3329,Rasual Butler,SAS,46.0,0.3,0.306,0.7,0.618,0.688,0.1,1.2,0.5,0.3,0.5,0.2,2.7,0.8,13.5,7.7,1.5,4.1,12.6,0.0,26.0,69.0,5.0,0.0,58.0,4.0,16.0,0.529,0.183,0.115,0.106,0.135,0.471,0.789,0.25,0.455,0.786,0.676,1.0,0.029,0.388,0.316,,2.79
3330,José Calderón,NYK,72.0,1.2,0.414,1.7,0.496,0.875,0.3,2.9,4.1,0.9,0.1,1.2,7.6,1.2,11.0,22.3,1.6,0.3,12.6,79.0,21.0,0.0,0.0,0.0,692.0,10.0,18.4,0.554,0.099,0.029,0.114,0.312,0.446,0.644,0.538,0.404,0.479,0.304,0.869,0.0,0.133,0.481,,1.21
3331,Kentavious Caldwell-Pope,DET,76.0,1.5,0.309,3.8,0.489,0.811,0.9,2.8,1.8,1.4,0.2,1.4,14.5,2.6,8.6,7.8,2.0,0.5,18.2,0.0,100.0,0.0,0.0,0.0,335.0,35.0,14.8,0.616,0.228,0.116,0.107,0.166,0.384,0.639,0.333,0.476,0.396,0.481,0.842,0.027,0.266,0.378,,2.0
3332,Isaiah Canaan,PHI,77.0,2.3,0.363,1.1,0.354,0.833,0.3,2.0,1.8,0.7,0.2,1.2,11.0,1.1,8.8,11.3,1.4,0.5,19.9,16.0,81.0,3.0,0.0,0.0,324.0,39.0,19.0,0.328,0.13,0.096,0.047,0.057,0.672,0.489,0.261,0.294,0.244,0.417,0.744,0.0,0.198,0.406,,1.87
3333,Clint Capela,HOU,77.0,0.0,0.0,3.0,0.583,0.379,2.5,3.9,0.6,0.8,1.2,0.8,7.0,14.4,22.7,5.1,2.0,5.2,16.1,0.0,0.0,0.0,20.0,80.0,108.0,46.0,1.7,0.997,0.786,0.209,0.0,0.003,0.003,0.66,0.301,,0.0,0.667,,0.277,0.0,,,4.8
3334,DeMarre Carroll,TOR,26.0,1.8,0.39,2.3,0.388,0.6,1.2,3.5,1.0,1.7,0.2,1.1,11.0,4.6,13.1,5.5,2.9,0.6,18.5,0.0,1.0,81.0,19.0,0.0,66.0,18.0,14.3,0.563,0.219,0.207,0.063,0.074,0.437,0.576,0.286,0.235,0.25,0.542,0.957,0.019,0.22,0.385,,3.21
3335,Vince Carter,MEM,60.0,1.0,0.349,1.2,0.425,0.833,0.5,1.9,0.9,0.6,0.3,0.6,6.6,3.4,13.6,8.9,1.9,1.5,18.5,3.0,59.0,36.0,2.0,0.0,127.0,14.0,16.9,0.507,0.207,0.093,0.073,0.134,0.493,0.535,0.313,0.36,0.37,0.5,0.864,0.052,0.172,0.345,,2.37
3336,Michael Carter-Williams,MIL,54.0,0.3,0.273,4.4,0.472,0.654,0.9,4.2,5.2,1.5,0.8,2.8,11.5,3.4,15.7,26.6,2.5,2.1,21.3,99.0,1.0,0.0,0.0,0.0,622.0,43.0,8.6,0.901,0.351,0.27,0.135,0.144,0.099,0.569,0.46,0.347,0.375,0.36,0.733,0.05,0.255,0.357,,1.01
3337,Omri Casspi,SAC,69.0,1.6,0.409,2.7,0.537,0.648,0.8,5.1,1.4,0.8,0.2,1.4,11.8,3.4,20.1,7.5,1.4,0.7,17.8,0.0,0.0,25.0,72.0,3.0,210.0,29.0,13.0,0.559,0.28,0.256,0.023,0.003,0.441,0.661,0.44,0.214,0.0,0.663,0.857,0.05,0.168,0.435,,3.78
3338,Willie Cauley-Stein,SAC,66.0,0.0,0.0,2.9,0.567,0.648,2.0,3.3,0.6,0.7,1.0,0.7,7.0,10.3,16.6,3.8,1.6,3.8,13.2,0.0,0.0,0.0,28.0,72.0,85.0,22.0,3.7,0.994,0.602,0.271,0.065,0.056,0.006,0.667,0.457,0.364,0.263,0.759,,0.286,1.0,0.0,,4.72
3339,Mario Chalmers,TOT,61.0,0.8,0.309,2.2,0.461,0.832,0.4,2.2,3.8,1.4,0.2,1.8,10.3,1.9,11.5,26.6,3.3,0.9,21.9,85.0,16.0,0.0,0.0,0.0,525.0,27.0,12.3,0.664,0.32,0.203,0.056,0.086,0.336,0.528,0.411,0.36,0.395,0.213,0.739,0.002,0.255,0.263,,1.17
3340,Tyson Chandler,PHO,66.0,0.0,0.0,2.8,0.585,0.62,2.7,6.1,1.0,0.5,0.7,1.4,7.2,11.5,27.5,6.0,1.1,2.2,12.7,0.0,0.0,0.0,30.0,70.0,151.0,23.0,2.8,0.997,0.768,0.124,0.038,0.067,0.003,0.685,0.333,0.167,0.143,0.667,,0.373,0.0,,,4.7
3341,Ian Clark,GSW,66.0,0.5,0.357,0.9,0.5,0.824,0.2,0.8,1.0,0.3,0.2,0.7,3.6,2.6,9.7,15.3,1.4,1.7,19.5,48.0,52.0,1.0,0.0,0.0,155.0,11.0,14.5,0.584,0.238,0.139,0.114,0.094,0.416,0.625,0.357,0.391,0.526,0.492,0.933,0.005,0.333,0.321,,1.55
3342,Jordan Clarkson,LAL,79.0,1.4,0.347,4.6,0.468,0.804,1.2,2.8,2.4,1.1,0.1,1.7,15.5,3.8,9.6,13.8,1.7,0.2,22.8,3.0,96.0,1.0,0.0,0.0,450.0,87.0,12.6,0.709,0.261,0.195,0.106,0.149,0.291,0.54,0.477,0.379,0.384,0.305,0.757,0.026,0.191,0.295,,1.98
3343,Norris Cole,NOP,45.0,0.7,0.324,3.6,0.427,0.8,0.2,3.1,3.7,0.8,0.1,1.7,10.6,0.9,13.5,22.0,1.5,0.3,21.7,94.0,6.0,0.0,0.0,0.0,370.0,17.0,14.1,0.789,0.209,0.124,0.105,0.351,0.211,0.495,0.4,0.431,0.394,0.258,0.879,0.01,0.186,0.474,,1.06
3344,Darren Collison,SAC,74.0,1.2,0.401,3.9,0.519,0.858,0.4,1.9,4.3,1.0,0.1,1.8,14.0,1.4,6.8,21.7,1.6,0.1,19.2,100.0,0.0,0.0,0.0,0.0,733.0,59.0,13.3,0.72,0.272,0.133,0.094,0.222,0.28,0.645,0.398,0.493,0.448,0.345,0.77,0.005,0.3,0.462,,1.0
3345,Nick Collison,OKC,59.0,0.0,0.0,0.8,0.467,0.697,1.2,1.7,0.9,0.3,0.3,0.8,2.1,11.2,15.2,9.6,1.1,1.7,10.6,0.0,0.0,0.0,86.0,15.0,112.0,10.0,5.0,0.982,0.523,0.294,0.073,0.092,0.018,0.509,0.406,0.5,0.4,0.66,,0.046,0.5,0.0,,4.19
3346,Mike Conley,MEM,56.0,1.4,0.363,3.9,0.449,0.834,0.5,2.5,6.1,1.2,0.3,1.5,15.3,1.6,9.3,32.7,2.0,0.8,22.4,100.0,0.0,0.0,0.0,0.0,756.0,33.0,13.5,0.691,0.261,0.139,0.115,0.175,0.309,0.544,0.402,0.4,0.377,0.273,0.782,0.001,0.177,0.421,,1.0
3347,Pat Connaughton,POR,34.0,0.1,0.238,0.2,0.286,1.0,0.3,0.6,0.3,0.1,0.0,0.3,1.1,8.3,15.9,9.9,0.7,0.0,18.7,0.0,98.0,2.0,0.0,0.0,25.0,5.0,14.2,0.571,0.286,0.122,0.061,0.102,0.429,0.429,0.167,0.0,0.2,0.5,0.8,0.0,0.143,0.0,,2.02
3348,Chris Copeland,MIL,24.0,0.4,0.278,0.3,0.467,0.857,0.0,0.4,0.5,0.1,0.0,0.3,2.1,0.7,6.5,10.3,0.7,0.0,17.3,0.0,0.0,34.0,65.0,1.0,26.0,2.0,19.2,0.294,0.137,0.078,0.02,0.059,0.706,0.714,0.5,0.0,0.0,0.571,1.0,0.0,0.222,0.125,,3.67
3349,DeMarcus Cousins,SAC,65.0,1.1,0.333,8.2,0.473,0.718,2.4,9.1,3.3,1.6,1.4,3.8,26.9,7.7,28.2,17.0,2.2,3.3,35.4,0.0,0.0,0.0,40.0,61.0,497.0,118.0,9.2,0.842,0.36,0.286,0.035,0.161,0.158,0.595,0.412,0.255,0.358,0.55,1.0,0.062,0.033,0.286,,4.65
3350,Robert Covington,PHI,67.0,2.5,0.353,1.6,0.452,0.791,1.0,5.3,1.4,1.6,0.6,2.1,12.8,3.6,20.9,8.4,2.7,1.6,21.5,0.0,6.0,64.0,30.0,0.0,225.0,40.0,18.5,0.323,0.19,0.083,0.027,0.024,0.677,0.593,0.237,0.211,0.353,0.558,0.947,0.015,0.137,0.333,,3.24
3351,Allen Crabbe,POR,81.0,1.4,0.393,2.5,0.506,0.867,0.3,2.3,1.2,0.8,0.2,0.8,10.3,1.4,9.7,7.2,1.5,0.6,16.4,0.0,79.0,21.0,0.0,0.0,234.0,14.0,17.2,0.58,0.133,0.069,0.109,0.27,0.42,0.711,0.362,0.514,0.443,0.769,0.964,0.019,0.302,0.43,,2.21
3352,Jamal Crawford,LAC,79.0,1.5,0.34,3.3,0.44,0.904,0.3,1.6,2.3,0.7,0.2,1.4,14.2,1.0,6.3,14.0,1.2,0.4,24.9,1.0,48.0,49.0,2.0,0.0,417.0,26.0,16.8,0.634,0.099,0.134,0.16,0.241,0.366,0.613,0.468,0.387,0.389,0.26,0.735,0.001,0.23,0.418,,2.52
3353,Jae Crowder,BOS,73.0,1.7,0.336,3.3,0.529,0.82,1.0,4.2,1.8,1.7,0.5,1.1,14.2,3.2,14.2,8.9,2.7,1.2,18.5,0.0,1.0,77.0,22.0,0.0,305.0,20.0,15.1,0.554,0.274,0.075,0.064,0.139,0.446,0.704,0.246,0.346,0.416,0.756,0.943,0.023,0.226,0.329,,3.21
3354,Dante Cunningham,NOP,80.0,0.7,0.316,1.6,0.55,0.695,0.7,2.2,1.0,0.5,0.4,0.5,6.1,3.1,10.4,5.6,1.1,1.4,11.0,0.0,2.0,74.0,24.0,1.0,175.0,24.0,14.5,0.578,0.296,0.083,0.039,0.163,0.422,0.705,0.235,0.5,0.433,0.855,1.0,0.066,0.615,0.336,,3.27
3355,Jared Cunningham,TOT,44.0,0.3,0.308,0.5,0.364,0.655,0.1,0.8,0.5,0.3,0.0,0.5,2.7,0.8,9.6,6.9,1.8,0.4,16.5,28.0,66.0,6.0,0.0,0.0,46.0,17.0,12.5,0.629,0.362,0.124,0.029,0.114,0.371,0.579,0.0,0.333,0.083,0.667,1.0,0.086,0.487,0.421,,1.78
3356,Seth Curry,SAC,44.0,1.1,0.45,1.2,0.46,0.833,0.2,1.2,1.5,0.5,0.1,0.8,6.8,1.4,7.9,14.2,1.5,0.4,17.4,35.0,63.0,2.0,0.0,0.0,153.0,12.0,17.7,0.504,0.089,0.147,0.071,0.196,0.496,0.7,0.394,0.563,0.364,0.423,0.78,0.0,0.243,0.556,,1.67
3357,Stephen Curry,GSW,79.0,5.1,0.454,5.1,0.566,0.908,0.9,4.6,6.7,2.1,0.2,3.3,30.1,2.9,13.6,33.7,3.0,0.4,32.6,100.0,0.0,0.0,0.0,0.0,1213.0,51.0,17.4,0.446,0.225,0.084,0.048,0.088,0.554,0.696,0.422,0.447,0.443,0.372,0.547,0.004,0.129,0.482,,1.0
3358,Troy Daniels,CHO,43.0,1.4,0.484,0.7,0.462,0.556,0.2,1.2,0.5,0.3,0.1,0.6,5.6,1.6,11.6,7.6,1.2,0.5,20.4,0.0,52.0,48.0,0.0,0.0,48.0,3.0,21.2,0.348,0.037,0.053,0.064,0.193,0.652,0.571,0.4,0.25,0.528,0.8,0.949,0.0,0.254,0.613,,2.48
3359,Anthony Davis,NOP,61.0,0.6,0.324,8.6,0.511,0.758,2.1,8.1,1.9,1.3,2.0,2.0,24.3,6.4,26.4,10.0,1.8,4.7,29.6,0.0,0.0,0.0,46.0,54.0,274.0,54.0,10.3,0.905,0.299,0.195,0.165,0.246,0.095,0.697,0.396,0.42,0.434,0.728,0.943,0.146,0.213,0.261,,4.54
3360,Ed Davis,POR,81.0,0.0,,2.5,0.611,0.559,2.8,4.6,1.1,0.7,0.9,0.8,6.5,14.4,24.2,7.7,1.7,3.3,12.7,0.0,0.0,0.0,70.0,30.0,208.0,25.0,2.0,1.0,0.748,0.24,0.012,0.0,0.0,0.659,0.469,0.5,,0.583,,0.131,,,,4.3
3361,Dewayne Dedmon,ORL,58.0,0.0,,1.7,0.559,0.75,1.2,2.8,0.2,0.4,0.8,0.6,4.4,10.4,25.7,2.7,1.6,5.4,15.2,0.0,0.0,0.0,0.0,100.0,31.0,15.0,4.3,1.0,0.599,0.232,0.09,0.079,0.0,0.651,0.415,0.5,0.357,0.778,,0.249,,,,5.0
3362,Bryce Dejean-Jones,NOP,14.0,0.9,0.375,1.1,0.432,0.524,0.6,2.9,1.1,0.7,0.1,0.8,5.6,3.1,16.5,7.7,1.8,0.6,14.1,0.0,82.0,18.0,0.0,0.0,34.0,6.0,15.3,0.536,0.319,0.014,0.058,0.145,0.464,0.455,0.0,0.25,0.5,0.375,0.833,0.101,0.188,0.333,,2.18
3363,Matthew Dellavedova,CLE,76.0,1.3,0.41,1.4,0.401,0.864,0.4,1.7,4.4,0.6,0.1,1.5,7.5,2.0,7.8,26.2,1.2,0.4,15.9,71.0,29.0,0.0,0.0,0.0,785.0,20.0,15.9,0.532,0.092,0.241,0.135,0.065,0.468,0.489,0.398,0.304,0.485,0.321,0.806,0.0,0.172,0.488,,1.29
3364,Luol Deng,MIA,74.0,1.2,0.344,3.4,0.513,0.755,1.5,4.5,1.9,1.0,0.4,1.1,12.3,5.3,15.4,9.0,1.6,0.9,17.4,0.0,0.0,27.0,71.0,3.0,328.0,31.0,13.0,0.656,0.305,0.136,0.059,0.16,0.344,0.67,0.446,0.205,0.378,0.622,1.0,0.035,0.539,0.362,,3.8
3365,DeMar DeRozan,TOR,78.0,0.6,0.338,7.3,0.458,0.85,0.8,3.7,4.0,1.0,0.3,2.2,23.5,2.7,11.5,20.8,1.5,0.6,29.8,0.0,68.0,32.0,0.0,0.0,784.0,97.0,11.2,0.899,0.226,0.213,0.214,0.247,0.101,0.63,0.433,0.415,0.359,0.252,0.83,0.029,0.424,0.441,,2.32
3366,Boris Diaw,SAS,76.0,0.3,0.362,2.3,0.564,0.737,0.8,2.3,2.3,0.3,0.3,1.3,6.4,4.9,13.9,18.4,1.0,1.2,17.0,0.0,0.0,0.0,96.0,4.0,410.0,16.0,8.7,0.82,0.394,0.277,0.073,0.076,0.18,0.662,0.547,0.25,0.414,0.48,0.96,0.0,0.072,0.2,,4.04
3367,Gorgui Dieng,MIN,82.0,0.1,0.3,3.7,0.54,0.827,1.9,5.2,1.7,1.1,1.2,1.7,10.1,8.3,22.1,10.1,2.1,3.5,16.7,0.0,0.0,0.0,53.0,47.0,325.0,51.0,8.2,0.965,0.387,0.197,0.157,0.223,0.035,0.71,0.395,0.462,0.434,0.712,1.0,0.131,0.65,0.385,,4.47
3368,Spencer Dinwiddie,DET,12.0,0.1,0.1,1.5,0.409,0.576,0.3,1.1,1.8,0.3,0.0,0.6,4.8,2.6,9.3,20.9,1.0,0.0,20.7,100.0,0.0,0.0,0.0,0.0,50.0,4.0,9.9,0.815,0.333,0.185,0.148,0.13,0.185,0.611,0.1,0.375,0.429,0.111,0.0,0.019,0.0,,,1.0
3369,Toney Douglas,NOP,61.0,1.3,0.399,1.7,0.421,0.848,0.4,1.9,2.6,1.1,0.1,1.0,8.7,2.1,10.7,19.1,2.8,0.3,19.4,65.0,35.0,1.0,0.0,0.0,359.0,29.0,16.1,0.544,0.2,0.101,0.106,0.139,0.456,0.584,0.333,0.234,0.403,0.402,0.679,0.0,0.187,0.526,,1.38
3370,Goran Dragić,MIA,72.0,0.9,0.312,4.9,0.527,0.727,0.8,3.1,5.8,1.0,0.2,2.6,14.1,2.7,10.4,28.7,1.5,0.6,21.9,99.0,1.0,0.0,0.0,0.0,946.0,40.0,11.3,0.766,0.328,0.142,0.169,0.127,0.234,0.666,0.387,0.426,0.459,0.252,0.75,0.001,0.244,0.26,,1.01
3371,Andre Drummond,DET,81.0,0.0,0.333,6.8,0.522,0.355,4.9,9.9,0.8,1.5,1.4,1.9,16.2,15.6,34.2,4.4,2.3,3.2,24.1,0.0,0.0,0.0,0.0,100.0,164.0,72.0,3.1,0.994,0.592,0.358,0.042,0.004,0.006,0.612,0.409,0.227,0.25,0.533,0.0,0.125,0.0,,,5.0
3372,Jared Dudley,WAS,81.0,1.2,0.42,1.6,0.534,0.735,0.7,2.9,2.1,0.9,0.2,1.0,7.9,2.8,12.6,11.4,1.7,0.7,12.7,0.0,0.0,1.0,94.0,5.0,388.0,6.0,18.7,0.511,0.127,0.027,0.057,0.298,0.489,0.758,0.385,0.464,0.469,0.872,1.0,0.0,0.244,0.483,,4.04
3373,Tim Duncan*,SAS,61.0,0.0,0.0,3.5,0.49,0.702,1.9,5.4,2.7,0.8,1.3,1.5,8.6,8.8,23.8,15.3,1.6,3.9,17.6,0.0,0.0,0.0,1.0,99.0,354.0,38.0,7.2,0.995,0.324,0.406,0.088,0.179,0.005,0.671,0.458,0.385,0.278,0.684,,0.011,0.0,,,4.99
3374,Mike Dunleavy,CHI,31.0,1.3,0.394,1.2,0.427,0.784,0.3,2.4,1.3,0.5,0.3,0.8,7.2,1.2,11.0,8.1,1.0,1.0,14.4,0.0,0.0,91.0,9.0,0.0,89.0,11.0,15.8,0.473,0.277,0.053,0.048,0.096,0.527,0.596,0.1,0.111,0.278,0.763,1.0,0.005,0.222,0.409,,3.09
3375,Kevin Durant,OKC,72.0,2.6,0.387,7.1,0.569,0.898,0.6,7.6,5.0,1.0,1.2,3.5,28.2,2.0,21.8,24.2,1.3,2.5,30.6,0.0,0.0,74.0,26.0,0.0,825.0,38.0,14.6,0.652,0.212,0.098,0.182,0.161,0.348,0.737,0.437,0.542,0.455,0.518,0.64,0.081,0.037,0.389,,3.26
3376,Cleanthony Early,NYK,17.0,0.2,0.267,0.5,0.32,0.75,0.2,1.3,0.4,0.1,0.2,0.5,1.8,2.9,15.4,5.7,0.7,1.5,14.9,0.0,0.0,72.0,28.0,0.0,14.0,4.0,15.3,0.625,0.25,0.075,0.025,0.275,0.375,0.5,0.333,0.0,0.182,0.625,1.0,0.0,0.4,0.0,,3.28
3377,Jarell Eddie,WAS,26.0,0.6,0.319,0.2,0.278,1.0,0.1,0.8,0.2,0.2,0.0,0.0,2.4,1.5,16.3,5.0,1.7,0.6,20.7,0.0,2.0,58.0,40.0,0.0,11.0,3.0,22.1,0.277,0.046,0.077,0.031,0.123,0.723,0.0,0.2,0.0,0.5,0.8,0.933,0.0,0.213,0.3,,3.38
3378,Wayne Ellington,BRK,76.0,1.3,0.358,1.6,0.416,0.857,0.3,2.0,1.1,0.6,0.1,0.6,7.7,1.4,10.9,7.8,1.5,0.3,17.5,0.0,92.0,8.0,0.0,0.0,187.0,24.0,18.3,0.522,0.123,0.045,0.061,0.294,0.478,0.609,0.32,0.353,0.364,0.574,0.865,0.011,0.332,0.393,,2.08
3379,Monta Ellis,IND,81.0,1.1,0.309,4.3,0.472,0.786,0.5,2.8,4.7,1.9,0.5,2.5,13.8,1.7,9.1,22.2,2.7,1.1,21.2,14.0,86.0,1.0,0.0,0.0,891.0,32.0,14.4,0.724,0.236,0.088,0.109,0.292,0.276,0.593,0.478,0.441,0.383,0.221,0.724,0.006,0.287,0.383,,1.89
