Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999,Season
9,Jarrett Allen,C,22,TOT,63,45,29.6,4.7,7.7,0.618,0.1,0.3,0.316,4.6,7.3,0.631,0.624,3.2,4.6,0.703,3.1,6.9,10,1.7,0.5,1.4,1.6,1.5,12.8,allenja01,9,Jarrett Allen,C,22,TOT,63,45,1864,7.9,12.7,0.618,0.2,0.5,0.316,7.7,12.2,0.631,5.4,7.6,0.703,5.2,11.5,16.6,2.8,0.8,2.4,2.6,2.5,21.2,,127,112,allenja01,9,Jarrett Allen,C,22,TOT,63,1864,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,,4.3,2.1,6.4,0.166,,1.3,-0.2,1.1,1.4,allenja01,9,Jarrett Allen,C,22,TOT,63,1864,,,,5%,95%,-5.9,-0.4,47,24,62,15,127,12,256,26,37,allenja01,9,Jarrett Allen,C,22,TOT,63,1864,0.618,4.5,,0.961,0.6,0.276,0.056,0.029,0.039,,0.631,0.761,0.436,0.407,0.214,0.316,,0.723,1,,0.288,127,,0.368,0.286,,0,0,allenja01,2021
9,Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0,0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,allenja01,9,Jarrett Allen,C,22,BRK,12,5,320,6.6,9.8,0.677,0,0,,6.6,9.8,0.677,6.9,9.2,0.754,5.7,13.1,18.8,3,1.1,2.9,3.3,3.2,20.2,,135,109,allenja01,9,Jarrett Allen,C,22,BRK,12,320,21.5,0.73,0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,,1,0.5,1.4,0.216,,1.7,0.9,2.6,0.4,allenja01,9,Jarrett Allen,C,22,BRK,12,320,,,,,100%,10.5,6.1,10,5,13,5,31,3,49,9,6,allenja01,9,Jarrett Allen,C,22,BRK,12,320,0.677,2.9,,1,0.723,0.185,0.046,0.046,0,,0.677,0.809,0.333,0.333,0.333,,,0.75,,,0.277,17,,,,,0,0,allenja01,2021
9,Jarrett Allen,C,22,CLE,51,40,30.3,5,8.2,0.609,0.1,0.4,0.316,4.9,7.8,0.623,0.616,3.1,4.5,0.69,3.1,6.8,9.9,1.7,0.5,1.4,1.5,1.5,13.2,allenja01,9,Jarrett Allen,C,22,CLE,51,40,1544,8.1,13.3,0.609,0.2,0.6,0.316,7.9,12.7,0.623,5,7.3,0.69,5,11.1,16.2,2.7,0.8,2.3,2.5,2.4,21.5,,125,112,allenja01,9,Jarrett Allen,C,22,CLE,51,1544,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,,3.4,1.6,5,0.155,,1.2,-0.4,0.8,1.1,allenja01,9,Jarrett Allen,C,22,CLE,51,1544,,,,6%,94%,-9.3,-1.7,37,19,49,10,96,9,207,17,31,allenja01,9,Jarrett Allen,C,22,CLE,51,1544,0.609,4.7,,0.954,0.58,0.29,0.058,0.026,0.046,,0.623,0.752,0.446,0.417,0.182,0.316,,0.718,1,,0.29,110,,0.368,0.286,,0,0,allenja01,2021
10,Al-Farouq Aminu,PF,30,TOT,23,14,18.9,1.7,4.3,0.384,0.3,1.6,0.216,1.3,2.7,0.484,0.424,0.8,1,0.818,1,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4,aminual01,10,Al-Farouq Aminu,PF,30,TOT,23,14,434,4.3,11.1,0.384,0.9,4.1,0.216,3.4,6.9,0.484,2,2.5,0.818,2.5,9.9,12.3,3.5,2.1,1,3.1,3.2,11.4,,91,111,aminual01,10,Al-Farouq Aminu,PF,30,TOT,23,434,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,,-0.4,0.5,0.1,0.01,,-4.9,1.1,-3.8,-0.2,aminual01,10,Al-Farouq Aminu,PF,30,TOT,23,434,,,36%,64%,,-6.9,0.6,15,6,13,4,12,1,75,6,5,aminual01,10,Al-Farouq Aminu,PF,30,TOT,23,434,0.384,13.2,,0.626,0.273,0.242,0.03,0.081,0.374,,0.484,0.519,0.417,0,0.75,0.216,,0.467,0.875,,0.03,3,,0.216,0.5,,0,0,aminual01,2021
10,Al-Farouq Aminu,PF,30,ORL,17,14,21.6,2.1,5.2,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1,0.824,1.2,4.2,5.4,1.7,1,0.5,1.5,1.3,5.5,aminual01,10,Al-Farouq Aminu,PF,30,ORL,17,14,367,4.8,11.8,0.404,0.9,4.1,0.226,3.8,7.7,0.5,1.9,2.3,0.824,2.7,9.4,12.1,3.8,2.3,1.2,3.3,2.9,12.3,,93,111,aminual01,10,Al-Farouq Aminu,PF,30,ORL,17,367,9.9,0.482,0.348,0.191,5.5,20.8,12.9,11.3,2.3,2.2,20.6,14.3,,-0.3,0.4,0.1,0.014,,-4.4,1.3,-3.1,-0.1,aminual01,10,Al-Farouq Aminu,PF,30,ORL,17,367,,,36%,64%,,-11.5,-2.9,14,4,10,4,11,1,70,6,5,aminual01,10,Al-Farouq Aminu,PF,30,ORL,17,367,0.404,12.7,,0.652,0.281,0.247,0.034,0.09,0.348,,0.5,0.56,0.409,0,0.75,0.226,,0.448,0.857,,0.034,3,,0.194,0.667,,0,0,aminual01,2021
10,Al-Farouq Aminu,PF,30,CHI,6,0,11.2,0.3,1.7,0.2,0.2,1,0.167,0.2,0.7,0.25,0.25,0.7,0.8,0.8,0.3,2.8,3.2,0.3,0.3,0,0.5,1.2,1.5,aminual01,10,Al-Farouq Aminu,PF,30,CHI,6,0,67,1.4,7.2,0.2,0.7,4.3,0.167,0.7,2.9,0.25,2.9,3.6,0.8,1.4,12.3,13.7,1.4,1.4,0,2.2,5.1,6.5,,77,111,aminual01,10,Al-Farouq Aminu,PF,30,CHI,6,67,3,0.369,0.6,0.5,3.3,27.8,15.7,3.5,1.4,0,19.7,9.8,,-0.1,0.1,0,-0.013,,-7.5,0.2,-7.3,-0.1,aminual01,10,Al-Farouq Aminu,PF,30,CHI,6,67,,,35%,65%,,18.3,19.5,1,2,3,0,1,0,5,0,0,aminual01,10,Al-Farouq Aminu,PF,30,CHI,6,67,0.2,17.2,,0.4,0.2,0.2,0,0,0.6,,0.25,0,0.5,,,0.167,,1,1,,0,0,,0.333,0,,0,0,aminual01,2021
11,Kyle Anderson,PF,27,MEM,69,69,27.3,4.5,9.5,0.468,1.4,3.8,0.36,3.1,5.8,0.539,0.54,2.1,2.7,0.783,0.8,5,5.7,3.6,1.2,0.8,1.2,1.7,12.4,anderky01,11,Kyle Anderson,PF,27,MEM,69,69,1887,7.8,16.7,0.468,2.4,6.6,0.36,5.4,10.1,0.539,3.6,4.7,0.783,1.3,8.7,10,6.3,2.1,1.4,2.2,3,21.6,,118,109,anderky01,11,Kyle Anderson,PF,27,MEM,69,1887,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,,2.9,2.7,5.6,0.143,,1.4,1.9,3.3,2.5,anderky01,11,Kyle Anderson,PF,27,MEM,69,1887,,,3%,70%,27%,1.7,0.8,46,18,58,9,86,4,575,16,32,anderky01,11,Kyle Anderson,PF,27,MEM,69,1887,0.468,14.8,,0.603,0.158,0.22,0.149,0.076,0.397,,0.539,0.654,0.497,0.541,0.42,0.36,,0.449,0.862,,0.012,7,,0.425,0.369,,1,0,anderky01,2021
12,Giannis Antetokounmpo,PF,26,MIL,61,61,33,10.3,18,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11,5.9,1.2,1.2,3.4,2.8,28.1,antetgi01,12,Giannis Antetokounmpo,PF,26,MIL,61,61,2013,14.6,25.7,0.569,1.6,5.2,0.303,13,20.5,0.636,9.3,13.6,0.685,2.3,13.4,15.7,8.3,1.7,1.7,4.8,3.9,40.1,,122,107,antetgi01,12,Giannis Antetokounmpo,PF,26,MIL,61,2013,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,,6.9,3.3,10.2,0.244,,6.2,2.8,9,5.6,antetgi01,12,Giannis Antetokounmpo,PF,26,MIL,61,2013,,,2%,86%,12%,8.4,6.7,71,50,53,53,295,5,926,79,56,antetgi01,12,Giannis Antetokounmpo,PF,26,MIL,61,2013,0.569,9.5,,0.799,0.451,0.193,0.094,0.062,0.201,,0.636,0.837,0.401,0.359,0.324,0.303,,0.428,0.299,,0.169,178,,0.045,0.3,,0,0,antetgi01,2021
13,Kostas Antetokounmpo,PF,23,LAL,15,0,3.7,0.2,0.7,0.3,0,0,,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1,1.3,0.1,0.1,0.3,0.7,0.5,0.8,antetko01,13,Kostas Antetokounmpo,PF,23,LAL,15,0,56,2.6,8.7,0.3,0,0,,2.6,8.7,0.3,5.2,11.3,0.462,3.5,13,16.5,0.9,1.7,3.5,9.6,6.9,10.4,,56,100,antetko01,13,Kostas Antetokounmpo,PF,23,LAL,15,56,0,0.382,0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,,-0.3,0.1,-0.2,-0.174,,-13.3,0.8,-12.6,-0.1,antetko01,13,Kostas Antetokounmpo,PF,23,LAL,15,56,,,,5%,95%,17.1,14.7,1,5,4,2,3,1,3,1,4,antetko01,13,Kostas Antetokounmpo,PF,23,LAL,15,56,0.3,4.1,,1,0.4,0.6,0,0,0,,0.3,0.75,0,,,,,0.333,,,0.4,2,,,,,0,0,antetko01,2021
14,Thanasis Antetokounmpo,SF,28,MIL,57,3,9.7,1.2,2.4,0.489,0.1,0.5,0.241,1.1,1.9,0.556,0.515,0.4,0.9,0.51,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9,antetth01,14,Thanasis Antetokounmpo,SF,28,MIL,57,3,551,5.7,11.7,0.489,0.6,2.5,0.241,5.1,9.2,0.556,2.1,4.2,0.51,4.6,6,10.6,3.9,1.9,0.9,3.7,6.3,14.1,,104,112,antetth01,14,Thanasis Antetokounmpo,SF,28,MIL,57,551,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,,0,0.6,0.7,0.057,,-3.7,0.2,-3.5,-0.2,antetth01,14,Thanasis Antetokounmpo,SF,28,MIL,57,551,,8%,60%,32%,1%,3.3,-2.6,14,9,37,9,25,10,118,6,12,antetth01,14,Thanasis Antetokounmpo,SF,28,MIL,57,551,0.489,8.4,,0.788,0.62,0.139,0.015,0.015,0.212,,0.556,0.671,0.105,0,0.5,0.241,,0.583,0.714,,0.255,29,,0.31,0.333,,4,0,antetth01,2021
