Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,ShootFC,OffFC,ShootFD,OffFD,PGA,And1,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,Dunks,C3%3PA,C33P%,Season 
Khris Middleton,SF,31,MIL,33,19,24.3,5.4,12.3,0.436,1.5,4.9,0.315,3.8,7.4,0.516,0.499,2.8,3.1,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1,15.1,801,113,113,17.4,0.551,0.251,3.8,14,9.1,30.7,1.4,0.5,13.6,27.4,1,1,1.9,0.117,1,-0.3,0.8,0.6,,20%,63%,16%,,6.5,3.7,39,19,34,4,39,6,385,11,19,16.4,0.601,0.111,0.18,0.175,0.135,0.399,0.644,0.548,0.423,0.491,0.333,0.608,0.002,1,0.142,0.391,2023
Patty Mills,PG,34,BRK,40,2,14.2,2.2,5.2,0.411,1.2,3.4,0.366,0.9,1.9,0.493,0.529,0.6,0.8,0.833,0.2,0.9,1.1,1.4,0.4,0.1,0.8,0.8,6.2,567,106,118,10.6,0.554,0.144,1.6,7,4.4,13.9,1.3,0.5,11.9,19.7,0,0.4,0.4,0.035,-1.4,-1.7,-3.1,-0.2,100%,,,,,-7.2,-9.9,17,8,14,2,9,8,130,1,7,20.9,0.359,0.062,0.057,0.077,0.163,0.641,0.769,0.5,0.25,0.5,0.568,0.857,0,0,0.254,0.382,2023
Shake Milton,SG,26,PHI,76,11,20.6,3.2,6.6,0.479,0.7,1.9,0.378,2.4,4.7,0.521,0.535,1.3,1.5,0.853,0.5,2,2.5,3.2,0.3,0.2,1.2,1.6,8.4,1567,115,117,12.7,0.575,0.231,3,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,0.087,-1,-0.9,-2,0,18%,68%,14%,1%,,4.2,-0.9,48,20,67,11,57,4,569,13,37,12,0.706,0.3,0.245,0.119,0.042,0.294,0.682,0.39,0.4,0.476,0.416,0.911,0.008,4,0.257,0.316,2023
Justin Minaya,SF,23,POR,4,0,22.3,1.8,5.8,0.304,0.8,3,0.25,1,2.8,0.364,0.37,0,0.3,0,0.8,3,3.8,1,0.5,1.3,1,2.3,4.3,89,77,117,4,0.363,0.043,3.8,15.6,9.7,5.9,1.1,5,14.6,13.4,-0.2,0.1,-0.1,-0.067,-7.2,-1.9,-9,-0.2,5%,23%,72%,,,-11.8,-8.3,3,0,7,0,1,0,10,1,0,16.4,0.478,0.217,0.087,0.13,0.043,0.522,0.6,0,0.333,0,0.5,1,0,0,0.25,0,2023
Josh Minott,SF,20,MIN,15,0,6.4,1.2,2.4,0.5,0.1,0.4,0.333,1.1,2,0.533,0.528,0.5,0.5,1,0.3,1.3,1.7,0.3,0.3,0.4,0.2,0.7,3.1,96,119,109,17.9,0.582,0.222,5.9,22.9,14.6,7.5,2,5.4,7.1,18.9,0.1,0.2,0.3,0.146,-1.9,0.4,-1.6,0,,5%,75%,21%,,10.3,10.8,2,1,8,0,4,0,11,0,6,6.6,0.833,0.389,0.417,0.028,0,0.167,0.714,0.4,0,,0.75,1,0.278,10,0.5,0.333,2023
Davion Mitchell,PG,24,SAC,80,9,18.1,2.3,5,0.454,0.8,2.5,0.32,1.5,2.5,0.584,0.533,0.3,0.4,0.806,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4,5.6,1447,111,119,9.4,0.545,0.078,1.3,7,4.1,16.5,1.5,0.9,13.1,14.1,0.7,0.8,1.5,0.05,-2.4,-0.4,-2.8,-0.3,86%,14%,,,,2.4,0.2,41,8,53,4,16,53,463,9,13,16.4,0.506,0.213,0.13,0.058,0.105,0.494,0.706,0.558,0.348,0.5,0.449,0.873,0.005,1,0.193,0.316,2023
Donovan Mitchell,SG,26,CLE,68,68,35.8,10,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,2432,118,111,22.9,0.614,0.262,3.1,10.9,7,21.4,2,1,10.3,32.1,5.4,3.5,8.9,0.176,5.6,0.6,6.3,5,30%,69%,1%,,,6,0.9,94,58,74,16,141,14,701,43,56,16.3,0.547,0.214,0.152,0.079,0.102,0.453,0.693,0.531,0.486,0.413,0.26,0.482,0.029,37,0.054,0.382,2023
Evan Mobley,PF,21,CLE,79,79,34.4,6.6,12,0.554,0.3,1.3,0.216,6.4,10.7,0.595,0.566,2.6,3.8,0.674,2.4,6.6,9,2.8,0.8,1.5,1.8,2.8,16.2,2715,117,108,17.9,0.591,0.321,8.1,22.7,15.4,12.4,1.1,4,11.9,20.2,3.7,4.8,8.5,0.151,0,1.6,1.7,2.5,,,,56%,44%,6.5,2.4,41,51,141,24,155,10,530,35,63,7.3,0.892,0.411,0.323,0.122,0.036,0.108,0.817,0.415,0.362,0.471,0.74,1,0.239,215,0.402,0.195,2023
Isaiah Mobley,PF,23,CLE,12,0,7,1,2.3,0.429,0.3,0.7,0.375,0.8,1.7,0.45,0.482,0.3,0.3,1,0.3,1.3,1.7,0.3,0.3,0.3,0.1,0.7,2.6,84,114,106,14.1,0.521,0.143,5.6,22.4,14,5,2.4,3.3,3.3,16.4,0.1,0.2,0.2,0.135,-2.5,1.1,-1.4,0,,,15%,64%,21%,18.3,12.9,0,0,5,1,2,1,8,0,2,11.1,0.714,0.286,0.357,0.036,0.036,0.286,0.5,0.4,1,0,0.444,1,0.036,1,0.125,1,2023
Chima Moneke,SF,27,SAC,2,0,4,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,1,0,1,0,1,0.5,0,0,1,1,1,8,72,124,-3.5,0.347,1,28.8,0,14.3,16.1,0,0,41,26.2,0,0,0,-0.288,-12.7,-8,-20.7,0,,,100%,,,-48.2,-50.6,1,1,2,0,1,0,2,0,0,2.2,1,1,0,0,0,0,0.5,,,,1,,0,0,,,2023
