,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Player-additional.1,ORtg,DRtg,Player-additional.2,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.3,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1
157,125,Maurice Evans,SG,29,TOT,75,47,22.9,3.5,7.3,0.481,1.1,2.8,0.388,2.4,4.5,0.539,0.555,0.8,1.1,0.711,1.2,1.7,2.9,1.1,0.6,0.1,0.5,1.9,8.9,evansma01,125,Maurice Evans,SG,29,TOT,75,47,1720,5.5,11.4,0.481,1.7,4.4,0.388,3.8,7.0,0.539,1.2,1.7,0.711,1.9,2.6,4.6,1.7,1.0,0.2,0.8,3.0,13.9,evansma01,118.0,108.0,evansma01,125,Maurice Evans,SG,29,TOT,75,1720,13.9,0.571,0.383,0.152,6.4,8.1,7.3,7.5,1.4,0.4,6.4,16.5,,3.2,1.6,4.9,0.135,,1.2,-0.2,1.0,1.3,evansma01,125,Maurice Evans,SG,29,TOT,75,1720,,64%,36%,,,4.5,-2.8,13,14,56,5,41,6,183,11,43,evansma01,125,Maurice Evans,SG,29,TOT,75,1720,0.481,11.9,,0.617,0.42,0.053,0.068,0.075,0.383,,0.539,0.62,0.414,0.459,0.244,0.388,,0.652,0.914,,0.147,75,,0.813,0.412,,0,0,evansma01
160,126,Reggie Evans,PF,27,PHI,81,61,23.2,1.9,4.3,0.439,0.0,0.0,1.0,1.9,4.3,0.438,0.441,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2,evansre01,126,Reggie Evans,PF,27,PHI,81,61,1879,2.9,6.6,0.439,0.0,0.0,1.0,2.9,6.6,0.438,2.3,4.9,0.467,4.3,7.4,11.7,1.2,1.6,0.2,2.1,4.1,8.1,evansre01,97.0,103.0,evansre01,126,Reggie Evans,PF,27,PHI,81,1879,11.0,0.463,0.003,0.743,14.0,24.7,19.3,5.0,2.4,0.3,19.0,13.6,,-0.3,3.0,2.7,0.068,,-3.0,0.0,-3.0,-0.5,evansre01,126,Reggie Evans,PF,27,PHI,81,1879,,,,85%,15%,-1.6,-3.2,25,27,76,16,111,26,140,14,57,evansre01,126,Reggie Evans,PF,27,PHI,81,1879,0.439,2.6,,0.997,0.725,0.194,0.032,0.046,0.003,,0.438,0.494,0.328,0.273,0.125,1.0,,0.656,0.0,,0.09,29,,0.0,,,0,0,evansre01
161,127,Jordan Farmar,PG,21,LAL,82,0,20.6,3.5,7.7,0.461,1.4,3.7,0.371,2.2,4.0,0.546,0.552,0.6,1.0,0.679,0.5,1.8,2.2,2.7,0.9,0.1,1.3,1.3,9.1,farmajo01,127,Jordan Farmar,PG,21,LAL,82,0,1690,6.2,13.4,0.461,2.4,6.5,0.371,3.8,6.9,0.546,1.1,1.7,0.679,0.8,3.1,3.9,4.8,1.6,0.1,2.3,2.2,16.0,farmajo01,109.0,107.0,farmajo01,127,Jordan Farmar,PG,21,LAL,82,1690,15.4,0.563,0.487,0.124,2.7,9.1,6.0,20.5,2.3,0.2,14.0,20.2,,2.1,1.8,3.9,0.111,,1.3,0.0,1.3,1.4,farmajo01,127,Jordan Farmar,PG,21,LAL,82,1690,100%,,,,,9.1,2.5,65,22,27,10,36,6,524,15,21,farmajo01,127,Jordan Farmar,PG,21,LAL,82,1690,0.461,15.9,,0.513,0.277,0.048,0.062,0.127,0.487,,0.546,0.617,0.433,0.462,0.475,0.371,,0.475,0.807,,0.019,11,,0.244,0.373,,3,0,farmajo01
162,128,Nick Fazekas,PF,22,TOT,26,0,10.3,1.8,3.2,0.561,0.0,0.1,0.0,1.8,3.1,0.575,0.561,0.6,0.8,0.682,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1.0,4.1,fazekni01,128,Nick Fazekas,PF,22,TOT,26,0,269,6.2,11.0,0.561,0.0,0.3,0.0,6.2,10.7,0.575,2.0,2.9,0.682,4.6,7.4,11.9,1.5,1.1,1.5,1.7,3.3,14.3,fazekni01,115.0,105.0,fazekni01,128,Nick Fazekas,PF,22,TOT,26,269,19.6,0.584,0.024,0.268,14.5,23.7,19.1,7.5,1.6,3.1,12.4,18.0,,0.5,0.4,0.8,0.148,,0.9,-0.4,0.5,0.2,fazekni01,128,Nick Fazekas,PF,22,TOT,26,269,,,,26%,74%,2.4,10.9,4,6,11,2,11,1,27,4,5,fazekni01,128,Nick Fazekas,PF,22,TOT,26,269,0.561,5.2,,0.976,0.488,0.354,0.073,0.061,0.024,,0.575,0.6,0.552,0.667,0.4,0.0,,0.63,,,0.024,2,,0.0,,,0,0,fazekni01
165,129,Raymond Felton,PG,23,CHA,79,79,37.6,5.2,12.6,0.413,0.7,2.5,0.28,4.5,10.1,0.447,0.441,3.3,4.1,0.8,0.5,2.5,3.0,7.4,1.2,0.2,2.7,2.3,14.4,feltora01,129,Raymond Felton,PG,23,CHA,79,79,2972,5.0,12.1,0.413,0.7,2.4,0.28,4.3,9.7,0.447,3.1,3.9,0.8,0.4,2.4,2.9,7.1,1.2,0.1,2.6,2.2,13.8,feltora01,104.0,112.0,feltora01,129,Raymond Felton,PG,23,CHA,79,2972,13.8,0.5,0.201,0.326,1.4,7.7,4.6,32.4,1.7,0.3,15.7,20.8,,2.0,1.4,3.4,0.054,,-0.6,-1.5,-2.1,-0.1,feltora01,129,Raymond Felton,PG,23,CHA,79,2972,94%,7%,,,,-3.9,4.1,132,54,81,13,110,10,1344,26,65,feltora01,129,Raymond Felton,PG,23,CHA,79,2972,0.413,13.1,,0.799,0.339,0.064,0.063,0.333,0.201,,0.447,0.497,0.5,0.429,0.389,0.28,,0.185,0.696,,0.002,1,,0.175,0.286,,4,0,feltora01
167,131,Michael Finley,SG,34,SAS,82,61,26.9,3.8,9.3,0.414,1.6,4.4,0.37,2.2,4.9,0.453,0.501,0.8,1.0,0.8,0.3,2.8,3.1,1.4,0.4,0.1,0.7,1.1,10.1,finlemi01,131,Michael Finley,SG,34,SAS,82,61,2204,5.1,12.4,0.414,2.2,5.8,0.37,3.0,6.6,0.453,1.0,1.3,0.8,0.4,3.7,4.1,1.9,0.5,0.2,0.9,1.5,13.5,finlemi01,105.0,105.0,finlemi01,131,Michael Finley,SG,34,SAS,82,2204,11.4,0.519,0.469,0.105,1.5,12.0,6.8,8.6,0.7,0.3,6.6,18.5,,1.3,2.9,4.2,0.091,,-0.5,-0.1,-0.6,0.8,finlemi01,131,Michael Finley,SG,34,SAS,82,2204,,56%,43%,,,5.4,0.0,32,21,61,0,15,6,252,1,14,finlemi01,131,Michael Finley,SG,34,SAS,82,2204,0.414,19.3,,0.531,0.057,0.049,0.118,0.307,0.469,,0.453,0.581,0.405,0.467,0.432,0.37,,0.639,0.977,,0.008,6,,0.373,0.414,,1,0,finlemi01
168,132,Derek Fisher,PG,33,LAL,82,82,27.4,4.1,9.5,0.436,1.4,3.4,0.406,2.8,6.1,0.453,0.508,2.0,2.3,0.883,0.3,1.8,2.1,2.9,1.0,0.0,1.1,2.3,11.7,fishede01,132,Derek Fisher,PG,33,LAL,82,82,2249,5.4,12.4,0.436,1.8,4.4,0.406,3.6,8.0,0.453,2.7,3.0,0.883,0.4,2.3,2.7,3.8,1.4,0.0,1.4,3.0,15.3,fishede01,114.0,109.0,fishede01,132,Derek Fisher,PG,33,LAL,82,2249,13.8,0.556,0.355,0.242,1.2,6.9,4.2,15.9,1.9,0.1,9.5,18.6,,3.7,2.0,5.7,0.121,,-0.3,0.0,-0.4,0.9,fishede01,132,Derek Fisher,PG,33,LAL,82,2249,98%,3%,,,,6.7,-2.2,59,17,77,10,58,55,532,9,33,fishede01,132,Derek Fisher,PG,33,LAL,82,2249,0.436,17.3,,0.645,0.161,0.048,0.068,0.368,0.355,,0.453,0.4,0.432,0.34,0.5,0.406,,0.454,0.955,,0.0,0,,0.438,0.504,,0,0,fishede01
169,133,T.J. Ford,PG,24,TOR,51,26,23.5,4.8,10.3,0.469,0.3,1.0,0.294,4.5,9.3,0.488,0.484,2.2,2.5,0.88,0.5,1.5,2.0,6.1,1.1,0.0,2.0,1.8,12.1,fordtj01,133,T.J. Ford,PG,24,TOR,51,26,1199,7.4,15.7,0.469,0.5,1.5,0.294,6.9,14.2,0.488,3.3,3.8,0.88,0.7,2.3,3.0,9.4,1.6,0.0,3.1,2.8,18.5,fordtj01,109.0,108.0,fordtj01,133,T.J. Ford,PG,24,TOR,51,1199,20.3,0.533,0.097,0.239,2.3,7.7,4.9,44.4,2.4,0.0,15.0,26.8,,2.1,1.1,3.3,0.13,,2.8,-0.3,2.5,1.4,fordtj01,133,T.J. Ford,PG,24,TOR,51,1199,100%,,,,,0.7,-4.0,70,21,36,3,50,6,691,16,24,fordtj01,133,T.J. Ford,PG,24,TOR,51,1199,0.469,11.2,,0.903,0.321,0.094,0.197,0.292,0.097,,0.488,0.518,0.449,0.515,0.451,0.294,,0.13,0.8,,0.006,2,,0.235,0.167,,1,0,fordtj01
170,134,Jeff Foster,C,31,IND,77,52,24.5,2.7,4.8,0.55,0.0,0.0,0.0,2.7,4.8,0.554,0.55,1.1,1.9,0.593,3.4,5.2,8.7,1.7,0.7,0.4,0.8,2.9,6.4,fosteje01,134,Jeff Foster,C,31,IND,77,52,1884,3.9,7.1,0.55,0.0,0.1,0.0,3.9,7.1,0.554,1.6,2.8,0.593,5.0,7.7,12.8,2.5,1.1,0.6,1.2,4.2,9.5,fosteje01,126.0,105.0,fosteje01,134,Jeff Foster,C,31,IND,77,1884,15.7,0.568,0.008,0.389,14.9,23.8,19.3,10.1,1.5,1.3,12.4,11.5,,4.0,2.4,6.5,0.165,,0.3,0.2,0.5,1.2,fosteje01,134,Jeff Foster,C,31,IND,77,1884,,,,8%,92%,-1.0,1.0,29,10,134,14,63,27,298,15,23,fosteje01,134,Jeff Foster,C,31,IND,77,1884,0.55,6.1,,0.992,0.566,0.161,0.075,0.19,0.008,,0.554,0.673,0.367,0.393,0.423,0.0,,0.683,,,0.078,27,,0.333,0.0,,0,0,fosteje01
171,135,Randy Foye,PG,24,MIN,39,31,32.3,5.1,11.8,0.429,1.6,3.8,0.412,3.5,8.1,0.436,0.495,1.4,1.7,0.815,0.3,2.9,3.3,4.2,0.9,0.1,2.0,2.6,13.1,foyera01,135,Randy Foye,PG,24,MIN,39,31,1259,5.7,13.2,0.429,1.7,4.2,0.412,3.9,9.0,0.436,1.5,1.9,0.815,0.4,3.3,3.7,4.7,1.0,0.1,2.3,2.9,14.6,foyera01,103.0,113.0,foyera01,135,Randy Foye,PG,24,MIN,39,1259,12.7,0.52,0.32,0.141,1.2,10.9,5.9,20.9,1.5,0.2,13.9,20.4,,0.7,0.4,1.1,0.042,,-0.6,-1.6,-2.2,-0.1,foyera01,135,Randy Foye,PG,24,MIN,39,1259,81%,19%,,,,-6.7,1.3,45,19,51,7,21,5,355,5,23,foyera01,135,Randy Foye,PG,24,MIN,39,1259,0.429,15.6,,0.68,0.184,0.128,0.123,0.245,0.32,,0.436,0.553,0.424,0.316,0.416,0.412,,0.219,0.738,,0.013,5,,0.128,0.474,,3,0,foyera01
172,136,Adonal Foyle,C,32,ORL,82,0,9.4,0.9,1.9,0.458,0.0,0.0,,0.9,1.9,0.458,0.458,0.2,0.4,0.471,0.9,1.7,2.5,0.2,0.2,0.5,0.4,1.1,1.9,foylead01,136,Adonal Foyle,C,32,ORL,82,0,774,3.3,7.1,0.458,0.0,0.0,,3.3,7.1,0.458,0.7,1.6,0.471,3.3,6.4,9.7,0.8,0.7,2.1,1.5,4.4,7.3,foylead01,99.0,102.0,foylead01,136,Adonal Foyle,C,32,ORL,82,774,9.9,0.464,0.0,0.222,11.0,19.6,15.5,3.4,1.1,4.2,16.0,11.8,,0.0,1.3,1.3,0.08,,-3.1,1.2,-1.9,0.0,foylead01,136,Adonal Foyle,C,32,ORL,82,774,,,,1%,99%,0.4,-6.7,8,7,59,7,15,8,40,2,22,foylead01,136,Adonal Foyle,C,32,ORL,82,774,0.458,3.2,,1.0,0.614,0.32,0.065,0.0,0.0,,0.458,0.5,0.469,0.0,,,,0.629,,,0.033,5,,,,,0,0,foylead01
175,139,Channing Frye,C,24,POR,78,20,17.2,2.8,5.8,0.488,0.0,0.1,0.3,2.8,5.7,0.492,0.491,1.1,1.4,0.78,1.4,3.2,4.5,0.7,0.4,0.3,0.7,2.7,6.8,fryech01,139,Channing Frye,C,24,POR,78,20,1342,5.9,12.2,0.488,0.1,0.3,0.3,5.8,11.9,0.492,2.3,2.9,0.78,2.9,6.6,9.5,1.5,0.8,0.7,1.5,5.6,14.2,fryech01,109.0,106.0,fryech01,139,Channing Frye,C,24,POR,78,1342,14.8,0.529,0.022,0.241,9.4,21.6,15.5,7.4,1.2,1.6,9.9,19.6,,1.6,1.6,3.2,0.114,,-1.9,0.1,-1.8,0.1,fryech01,139,Channing Frye,C,24,POR,78,1342,,,,11%,90%,0.9,3.3,12,13,126,13,52,11,135,10,14,fryech01,139,Channing Frye,C,24,POR,78,1342,0.488,13.6,,0.978,0.196,0.146,0.097,0.539,0.022,,0.492,0.652,0.348,0.455,0.48,0.3,,0.752,0.667,,0.051,21,,0.3,0.333,,0,0,fryech01
176,140,Dan Gadzuric,C,29,MIL,51,4,10.5,1.3,3.0,0.416,0.0,0.0,0.0,1.3,3.0,0.418,0.416,0.6,1.2,0.524,1.3,1.5,2.8,0.2,0.4,0.5,0.7,1.6,3.2,gadzuda01,140,Dan Gadzuric,C,29,MIL,51,4,534,4.3,10.4,0.416,0.0,0.1,0.0,4.3,10.3,0.418,2.2,4.2,0.524,4.5,5.2,9.7,0.7,1.3,1.6,2.3,5.6,10.9,gadzuda01,93.0,109.0,gadzuda01,140,Dan Gadzuric,C,29,MIL,51,534,10.7,0.443,0.006,0.409,14.2,17.7,15.9,3.2,2.0,3.5,15.8,18.2,,-0.4,0.4,0.1,0.006,,-4.8,-1.3,-6.1,-0.6,gadzuda01,140,Dan Gadzuric,C,29,MIL,51,534,,,,19%,81%,-7.3,0.3,8,15,55,4,26,5,24,3,7,gadzuda01,140,Dan Gadzuric,C,29,MIL,51,534,0.416,4.2,,0.994,0.604,0.227,0.084,0.078,0.006,,0.418,0.527,0.286,0.154,0.25,0.0,,0.703,,,0.201,26,,0.0,,,0,0,gadzuda01
178,142,Francisco García,SF,26,SAC,79,20,26.5,4.4,9.5,0.463,1.4,3.7,0.391,3.0,5.9,0.508,0.538,2.1,2.6,0.779,0.7,2.7,3.3,1.6,1.2,0.6,1.6,2.9,12.3,garcifr01,142,Francisco García,SF,26,SAC,79,20,2096,6.0,12.9,0.463,1.9,5.0,0.391,4.0,8.0,0.508,2.8,3.6,0.779,0.9,3.6,4.5,2.2,1.6,0.9,2.2,4.0,16.7,garcifr01,108.0,109.0,garcifr01,142,Francisco García,SF,26,SAC,79,2096,15.1,0.576,0.384,0.277,3.0,11.7,7.4,10.2,2.3,1.8,13.2,20.7,,2.4,1.8,4.2,0.097,,0.7,0.1,0.8,1.5,garcifr01,142,Francisco García,SF,26,SAC,79,2096,,10%,80%,10%,,-3.2,-1.8,61,24,124,24,86,20,285,24,42,garcifr01,142,Francisco García,SF,26,SAC,79,2096,0.463,15.2,,0.616,0.269,0.056,0.081,0.21,0.384,,0.508,0.629,0.31,0.426,0.437,0.391,,0.455,0.903,,0.012,8,,0.26,0.453,,1,0,garcifr01
180,144,Kevin Garnett*,PF,31,BOS,71,71,32.8,7.5,13.9,0.539,0.0,0.2,0.0,7.5,13.8,0.545,0.539,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,garneke01,144,Kevin Garnett*,PF,31,BOS,71,71,2328,8.3,15.3,0.539,0.0,0.2,0.0,8.3,15.1,0.545,4.2,5.2,0.801,2.1,8.0,10.1,3.8,1.5,1.4,2.1,2.5,20.7,garneke01,118.0,94.0,garneke01,144,Kevin Garnett*,PF,31,BOS,71,2328,25.3,0.588,0.011,0.339,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,,6.6,6.2,12.9,0.265,,4.7,3.5,8.2,6.0,garneke01,144,Kevin Garnett*,PF,31,BOS,71,2328,,,,79%,21%,16.4,11.8,57,22,70,29,142,6,560,18,30,garneke01,144,Kevin Garnett*,PF,31,BOS,71,2328,0.539,11.5,,0.989,0.238,0.181,0.205,0.365,0.011,,0.545,0.737,0.486,0.488,0.482,0.0,,0.676,,,0.087,84,,0.0,,,3,0,garneke01
181,145,Pat Garrity,PF,31,ORL,31,0,9.2,0.9,2.6,0.338,0.3,1.2,0.216,0.6,1.4,0.442,0.388,0.1,0.2,0.8,0.3,1.1,1.4,0.4,0.2,0.0,0.5,1.1,2.1,garripa01,145,Pat Garrity,PF,31,ORL,31,0,284,3.4,10.1,0.338,1.0,4.7,0.216,2.4,5.5,0.442,0.5,0.6,0.8,1.1,4.4,5.6,1.6,0.8,0.1,2.2,4.4,8.4,garripa01,79.0,107.0,garripa01,145,Pat Garrity,PF,31,ORL,31,284,3.2,0.401,0.463,0.063,3.8,13.6,8.9,6.8,1.1,0.3,17.1,16.0,,-0.5,0.3,-0.2,-0.038,,-6.5,-0.2,-6.6,-0.3,garripa01,145,Pat Garrity,PF,31,ORL,31,284,,,43%,56%,2%,0.7,-5.5,5,2,19,4,2,7,32,0,3,garripa01,145,Pat Garrity,PF,31,ORL,31,284,0.338,19.0,,0.538,0.063,0.075,0.075,0.325,0.463,,0.442,0.8,0.333,0.333,0.423,0.216,,0.789,1.0,,0.0,0,,0.189,0.286,,0,0,garripa01
182,146,Pau Gasol*,C,27,TOT,66,66,35.6,7.2,13.5,0.534,0.1,0.2,0.25,7.1,13.2,0.539,0.536,4.4,5.5,0.807,2.3,6.0,8.4,3.2,0.5,1.5,1.9,2.1,18.9,gasolpa01,146,Pau Gasol*,C,27,TOT,66,66,2351,7.3,13.6,0.534,0.1,0.2,0.25,7.2,13.4,0.539,4.5,5.5,0.807,2.4,6.1,8.5,3.2,0.5,1.5,1.9,2.1,19.1,gasolpa01,119.0,109.0,gasolpa01,146,Pau Gasol*,C,27,TOT,66,2351,21.6,0.594,0.018,0.407,7.4,18.7,13.1,15.2,0.6,3.0,10.6,22.1,,6.4,2.1,8.4,0.172,,3.3,0.1,3.4,3.2,gasolpa01,146,Pau Gasol*,C,27,TOT,66,2351,,,,22%,78%,4.6,8.2,57,47,77,8,160,15,497,42,57,gasolpa01,146,Pau Gasol*,C,27,TOT,66,2351,0.534,7.3,,0.982,0.401,0.256,0.16,0.165,0.018,,0.539,0.695,0.465,0.38,0.429,0.25,,0.609,1.0,,0.124,104,,0.375,0.167,,1,0,gasolpa01
185,147,Rudy Gay,SF,21,MEM,81,81,37.0,7.7,16.7,0.461,1.7,4.8,0.346,6.1,12.0,0.507,0.511,3.1,3.9,0.785,1.7,4.4,6.2,2.0,1.4,1.0,2.3,2.8,20.1,gayru01,147,Rudy Gay,SF,21,MEM,81,81,3000,7.5,16.3,0.461,1.6,4.6,0.346,5.9,11.6,0.507,3.0,3.8,0.785,1.7,4.3,6.0,1.9,1.3,0.9,2.3,2.8,19.6,gayru01,106.0,110.0,gayru01,147,Rudy Gay,SF,21,MEM,81,3000,17.4,0.546,0.286,0.233,5.2,13.5,9.3,9.3,1.9,1.9,11.3,25.0,,2.9,2.1,5.0,0.08,,1.5,-0.6,0.8,2.1,gayru01,147,Rudy Gay,SF,21,MEM,81,3000,,,62%,38%,,-8.5,-7.2,71,80,114,17,134,19,364,27,50,gayru01,147,Rudy Gay,SF,21,MEM,81,3000,0.461,13.8,,0.714,0.269,0.121,0.123,0.201,0.286,,0.507,0.616,0.463,0.398,0.454,0.346,,0.297,0.858,,0.095,115,,0.186,0.472,,9,0,gayru01
186,148,Mickaël Gelabale,SG,24,SEA,39,0,11.9,1.8,4.0,0.439,0.4,0.9,0.432,1.4,3.1,0.442,0.49,0.4,0.5,0.778,0.4,1.1,1.5,0.8,0.3,0.2,0.7,0.8,4.3,gelabmi01,148,Mickaël Gelabale,SG,24,SEA,39,0,465,5.3,12.2,0.439,1.2,2.9,0.432,4.1,9.3,0.442,1.1,1.4,0.778,1.2,3.3,4.5,2.6,0.8,0.7,2.1,2.4,13.0,gelabmi01,98.0,112.0,gelabmi01,148,Mickaël Gelabale,SG,24,SEA,39,465,10.5,0.509,0.236,0.115,3.8,9.8,6.8,11.1,1.1,1.4,14.1,17.9,,0.0,0.2,0.2,0.021,,-2.0,-1.0,-3.1,-0.1,gelabmi01,148,Mickaël Gelabale,SG,24,SEA,39,465,16%,83%,1%,,,-4.8,4.9,6,12,20,5,8,3,75,4,10,gelabmi01,148,Mickaël Gelabale,SG,24,SEA,39,465,0.439,14.3,,0.764,0.21,0.102,0.134,0.318,0.236,,0.442,0.636,0.375,0.476,0.32,0.432,,0.528,0.875,,0.038,5,,0.378,0.429,,0,0,gelabmi01
187,149,Devean George,SF,30,DAL,53,4,15.5,1.4,3.9,0.357,0.4,1.3,0.324,1.0,2.6,0.374,0.411,0.5,0.6,0.706,0.5,2.1,2.6,0.7,0.4,0.2,0.5,1.7,3.7,georgde01,149,Devean George,SF,30,DAL,53,4,821,3.2,9.1,0.357,1.0,3.0,0.324,2.3,6.1,0.374,1.1,1.5,0.706,1.2,4.8,6.0,1.5,0.8,0.6,1.1,3.9,8.5,georgde01,94.0,106.0,georgde01,149,Devean George,SF,30,DAL,53,821,7.0,0.437,0.329,0.164,4.1,14.9,9.6,6.3,1.2,1.2,9.8,14.0,,-0.3,1.0,0.7,0.039,,-3.4,0.6,-2.8,-0.2,georgde01,149,Devean George,SF,30,DAL,53,821,,1%,81%,18%,,0.5,-5.8,7,11,45,4,13,8,83,1,13,georgde01,149,Devean George,SF,30,DAL,53,821,0.357,15.5,,0.671,0.208,0.087,0.126,0.251,0.329,,0.374,0.581,0.278,0.231,0.308,0.324,,0.596,0.955,,0.039,7,,0.456,0.258,,1,0,georgde01
188,150,Daniel Gibson,PG,21,CLE,58,26,30.4,3.5,8.0,0.432,2.0,4.6,0.44,1.4,3.4,0.421,0.559,1.5,1.8,0.81,0.5,1.8,2.3,2.5,0.8,0.2,1.3,2.8,10.4,gibsoda01,150,Daniel Gibson,PG,21,CLE,58,26,1765,4.1,9.5,0.432,2.4,5.5,0.44,1.7,4.0,0.421,1.7,2.1,0.81,0.6,2.1,2.7,3.0,1.0,0.3,1.6,3.3,12.3,gibsoda01,116.0,110.0,gibsoda01,150,Daniel Gibson,PG,21,CLE,58,1765,11.7,0.592,0.576,0.226,1.9,6.9,4.3,13.1,1.4,0.6,12.9,15.1,,2.7,1.4,4.1,0.111,,-0.4,0.0,-0.4,0.7,gibsoda01,150,Daniel Gibson,PG,21,CLE,58,1765,100%,,,,,3.5,6.4,38,18,80,10,31,13,332,6,25,gibsoda01,150,Daniel Gibson,PG,21,CLE,58,1765,0.432,19.7,,0.424,0.112,0.052,0.034,0.226,0.576,,0.421,0.462,0.292,0.375,0.438,0.44,,0.422,0.89,,0.0,0,,0.425,0.456,,2,0,gibsoda01
189,151,Eddie Gill,PG,29,TOT,14,1,11.0,0.9,2.2,0.387,0.4,1.1,0.333,0.5,1.1,0.438,0.468,0.6,0.6,1.0,0.1,1.5,1.6,1.6,0.5,0.1,0.6,1.3,2.7,gilled01,151,Eddie Gill,PG,29,TOT,14,1,154,2.8,7.2,0.387,1.2,3.5,0.333,1.6,3.7,0.438,2.1,2.1,1.0,0.2,4.9,5.1,5.1,1.6,0.5,2.1,4.2,8.9,gilled01,105.0,107.0,gilled01,151,Eddie Gill,PG,29,TOT,14,154,10.9,0.543,0.484,0.29,0.8,15.8,8.3,22.1,2.4,1.0,20.5,13.0,,0.1,0.2,0.2,0.077,,-2.8,2.1,-0.6,0.1,gilled01,151,Eddie Gill,PG,29,TOT,14,154,99%,1%,,,,-11.0,-5.4,6,2,10,0,4,1,48,1,2,gilled01,151,Eddie Gill,PG,29,TOT,14,154,0.387,16.9,,0.516,0.226,0.032,0.065,0.194,0.484,,0.438,0.429,0.0,0.0,0.667,0.333,,0.286,0.6,,0.0,0,,0.067,1.0,,0,0,gilled01
192,152,Manu Ginóbili*,SG,30,SAS,74,23,31.1,6.1,13.3,0.46,2.1,5.3,0.401,4.0,8.0,0.499,0.54,5.1,6.0,0.86,0.9,3.9,4.8,4.5,1.5,0.4,2.7,2.3,19.5,ginobma01,152,Manu Ginóbili*,SG,30,SAS,74,23,2299,7.1,15.4,0.46,2.4,6.1,0.401,4.7,9.3,0.499,6.0,6.9,0.86,1.0,4.6,5.5,5.2,1.7,0.5,3.1,2.7,22.6,ginobma01,116.0,100.0,ginobma01,152,Manu Ginóbili*,SG,30,SAS,74,2299,24.3,0.612,0.395,0.449,3.3,14.7,9.1,26.4,2.6,1.1,14.5,28.7,,6.6,4.5,11.1,0.232,,5.6,2.7,8.3,6.0,ginobma01,152,Manu Ginóbili*,SG,30,SAS,74,2299,5%,94%,2%,,,9.2,9.3,117,51,68,20,152,27,742,23,44,ginobma01,152,Manu Ginóbili*,SG,30,SAS,74,2299,0.46,15.1,,0.605,0.25,0.096,0.091,0.168,0.395,,0.499,0.626,0.394,0.389,0.43,0.401,,0.269,0.795,,0.018,14,,0.159,0.435,,3,0,ginobma01
193,153,Gordan Giriček,SG,30,TOT,56,0,14.8,2.4,5.4,0.44,0.6,1.8,0.364,1.7,3.6,0.478,0.5,0.4,0.5,0.885,0.3,1.4,1.7,1.1,0.4,0.1,0.9,1.5,5.8,giricgo01,153,Gordan Giriček,SG,30,TOT,56,0,831,5.8,13.1,0.44,1.6,4.3,0.364,4.2,8.8,0.478,1.0,1.1,0.885,0.7,3.5,4.2,2.7,1.0,0.2,2.3,3.6,14.1,giricgo01,98.0,110.0,giricgo01,153,Gordan Giriček,SG,30,TOT,56,831,9.8,0.518,0.328,0.086,2.4,10.8,6.7,11.0,1.5,0.4,14.2,19.7,,-0.1,0.6,0.5,0.029,,-2.4,-0.8,-3.2,-0.3,giricgo01,153,Gordan Giriček,SG,30,TOT,56,831,,66%,33%,1%,,3.3,-2.4,14,12,38,12,13,14,136,3,14,giricgo01,153,Gordan Giriček,SG,30,TOT,56,831,0.44,16.2,,0.672,0.175,0.076,0.103,0.318,0.328,,0.478,0.66,0.435,0.419,0.406,0.364,,0.536,0.889,,0.017,5,,0.343,0.471,,0,0,giricgo01
