Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999,Season
9,Jose Alvarado,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2,0.291,1.8,3.4,0.538,0.5,0.7,1,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,1,834,7.8,17.4,0.446,1.9,6.5,0.291,5.9,10.9,0.538,2.1,3.1,0.679,1.5,4.4,5.9,9,4.2,0.4,2.4,4.3,19.5,,114,109,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,834,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,,1,1.1,2.1,0.121,,-0.5,2.4,1.9,0.8,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,834,100%,,,,,8.1,11.7,26,11,34,2,20,14,354,4,19,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,834,0.446,13.6,,0.626,0.235,0.248,0.099,0.044,0.374,,0.538,0.609,0.507,0.483,0.462,0.291,,0.303,0.969,,0,0,,0.227,0.32,,1,0,alvarjo01,2022
10,Justin Anderson,SF,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,anderju01,10,Justin Anderson,SF,28,TOT,16,6,316,5.6,14.8,0.379,2.3,9.2,0.254,3.3,5.6,0.583,2.3,3,0.789,0.6,6.5,7.1,5.1,1.2,0.9,1.2,3.4,15.9,,109,116,anderju01,10,Justin Anderson,SF,28,TOT,16,316,10.4,0.493,0.621,0.2,1.4,15,8.1,14.2,1.2,1.7,7.2,15.1,,0.2,0.2,0.4,0.054,,-1.9,-1.3,-3.2,-0.1,anderju01,10,Justin Anderson,SF,28,TOT,16,316,,1%,43%,55%,,-1.8,1.1,5,2,13,0,10,1,87,5,5,anderju01,10,Justin Anderson,SF,28,TOT,16,316,0.379,18.9,,0.379,0.147,0.095,0.042,0.095,0.621,,0.583,0.714,0.444,0.25,0.667,0.254,,0.667,0.933,,0.032,1,,0.339,0.4,,0,0,anderju01,2022
10,Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2,0.333,0.7,0.7,1,0.625,1,1.3,0.75,0,2,2,2,0.3,0,0.7,1.3,4.3,anderju01,10,Justin Anderson,SF,28,CLE,3,0,47,4.3,8.5,0.5,2.1,6.4,0.333,2.1,2.1,1,3.2,4.3,0.75,0,6.4,6.4,6.4,1.1,0,2.1,4.3,13.8,,126,112,anderju01,10,Justin Anderson,SF,28,CLE,3,47,10.7,0.666,0.75,0.5,0,13.8,7.1,17.3,1.1,0,17,11.1,,0.1,0,0.1,0.124,,-3,0.4,-2.6,0,anderju01,10,Justin Anderson,SF,28,CLE,3,47,,6%,75%,19%,,35.7,34.1,1,1,3,0,1,0,17,0,0,anderju01,10,Justin Anderson,SF,28,CLE,3,47,0.5,22,,0.25,0.125,0,0,0.125,0.75,,1,1,,,1,0.333,,1,1,,0,0,,0.333,0,,0,0,anderju01,2022
10,Justin Anderson,SF,28,IND,13,6,20.7,2.5,6.7,0.368,1,4.1,0.245,1.5,2.6,0.559,0.443,0.9,1.2,0.8,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8,anderju01,10,Justin Anderson,SF,28,IND,13,6,269,5.8,15.8,0.368,2.4,9.6,0.245,3.5,6.2,0.559,2.2,2.7,0.8,0.7,6.6,7.3,4.9,1.3,1.1,1.1,3.3,16.2,,107,117,anderju01,10,Justin Anderson,SF,28,IND,13,269,10.3,0.475,0.609,0.172,1.6,15.2,8.3,13.6,1.3,1.9,6,15.8,,0.1,0.1,0.2,0.041,,-1.7,-1.6,-3.3,-0.1,anderju01,10,Justin Anderson,SF,28,IND,13,269,,,38%,62%,,-8.4,-4.6,4,1,10,0,9,1,70,5,5,anderju01,10,Justin Anderson,SF,28,IND,13,269,0.368,18.6,,0.391,0.149,0.103,0.046,0.092,0.609,,0.559,0.692,0.444,0.25,0.625,0.245,,0.632,0.923,,0.034,1,,0.34,0.444,,0,0,anderju01,2022
11,Kyle Anderson,PF,28,MEM,69,11,21.5,3,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1,1.5,0.638,1,4.3,5.3,2.7,1.1,0.7,1,1.6,7.6,anderky01,11,Kyle Anderson,PF,28,MEM,69,11,1484,6.7,15.1,0.446,1.2,3.5,0.33,5.6,11.6,0.481,2.2,3.4,0.638,2.2,9.6,11.9,5.9,2.5,1.5,2.3,3.5,16.8,,110,106,anderky01,11,Kyle Anderson,PF,28,MEM,69,1484,14.4,0.506,0.232,0.224,4.8,21.6,13,16.2,2.5,2.7,12.1,16.2,,1,2.5,3.5,0.113,,-0.9,2.1,1.2,1.2,anderky01,11,Kyle Anderson,PF,28,MEM,69,1484,,,8%,62%,30%,3,-4.5,33,19,44,10,46,6,440,14,25,anderky01,11,Kyle Anderson,PF,28,MEM,69,1484,0.446,10.7,,0.768,0.279,0.303,0.141,0.045,0.232,,0.481,0.641,0.437,0.333,0.238,0.33,,0.514,0.972,,0.043,19,,0.422,0.435,,0,0,anderky01,2022
12,Giannis Antetokounmpo,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15,0.616,0.582,8.3,11.4,0.722,2,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,67,2204,15,27.1,0.553,1.5,5.3,0.293,13.5,21.9,0.616,12.1,16.7,0.722,2.9,14,17,8.5,1.6,2,4.8,4.6,43.6,,124,106,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,2204,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4,12.2,34.9,,9.2,3.7,12.9,0.281,,7.6,3.5,11.2,7.4,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,2204,,,1%,65%,34%,8,11,72,67,87,48,367,3,1020,86,63,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,2204,0.553,10,,0.806,0.406,0.198,0.12,0.082,0.194,,0.616,0.808,0.421,0.416,0.431,0.293,,0.432,0.423,,0.152,179,,0.025,0.167,,2,0,antetgi01,2022
13,Thanasis Antetokounmpo,SF,29,MIL,48,6,9.9,1.5,2.7,0.547,0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,6,473,7.1,13,0.547,0.2,1.4,0.143,6.9,11.6,0.596,2.9,4.7,0.63,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,,113,112,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,473,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,,0.4,0.5,0.9,0.095,,-3.5,-0.1,-3.5,-0.2,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,473,1%,27%,51%,20%,1%,-10.6,-15.6,8,6,33,4,20,7,53,2,13,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,473,0.547,5.3,,0.891,0.672,0.172,0.039,0.008,0.109,,0.596,0.686,0.318,0.2,1,0.143,,0.632,0.5,,0.227,25,,0.429,0.167,,1,0,antetth01,2022
14,Carmelo Anthony,PF,37,LAL,69,3,26,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1,0.7,0.8,0.9,2.4,13.3,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,3,1793,8.5,19.3,0.441,4,10.6,0.375,4.5,8.7,0.521,3.5,4.3,0.83,1.7,6,7.7,1.8,1.3,1.4,1.6,4.4,24.6,,114,114,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.4,3.6,0.097,,0.4,-0.8,-0.5,0.7,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,1793,,,14%,74%,12%,-3,0.3,20,9,87,22,60,2,167,13,18,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,1793,0.441,19.1,,0.451,0.101,0.066,0.152,0.131,0.549,,0.521,0.671,0.417,0.5,0.484,0.375,,0.482,0.919,,0.019,11,,0.171,0.412,,0,0,anthoca01,2022
15,Cole Anthony,PG,21,ORL,65,65,31.7,5.5,14,0.391,2,6,0.338,3.5,8,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,anthoco01,15,Cole Anthony,PG,21,ORL,65,65,2059,8.4,21.4,0.391,3.1,9.2,0.338,5.3,12.2,0.432,5.1,5.9,0.854,0.8,7.4,8.2,8.7,1.1,0.4,4,4,24.9,,103,114,anthoco01,15,Cole Anthony,PG,21,ORL,65,2059,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.2,0.4,anthoco01,15,Cole Anthony,PG,21,ORL,65,2059,99%,1%,,,,-5.9,4.9,106,48,90,4,93,20,902,21,44,anthoco01,15,Cole Anthony,PG,21,ORL,65,2059,0.391,16.2,,0.571,0.147,0.214,0.095,0.115,0.429,,0.432,0.59,0.385,0.448,0.305,0.338,,0.24,0.667,,0.025,14,,0.087,0.324,,2,0,anthoco01,2022
16,OG Anunoby,SF,24,TOR,48,48,36,6.4,14.5,0.443,2.4,6.6,0.363,4,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4,5.5,2.6,1.5,0.5,1.7,2.7,17.1,anunoog01,16,OG Anunoby,SF,24,TOR,48,48,1728,8.9,20.2,0.443,3.3,9.2,0.363,5.6,11,0.511,2.6,3.4,0.754,2.1,5.5,7.6,3.6,2.1,0.7,2.3,3.8,23.8,,112,111,anunoog01,16,OG Anunoby,SF,24,TOR,48,1728,14.8,0.549,0.455,0.169,4.4,12.6,8.3,11,2.1,1.4,9.7,20.5,,1.8,1.9,3.7,0.104,,0.4,0.1,0.5,1.1,anunoog01,16,OG Anunoby,SF,24,TOR,48,1728,3%,27%,61%,9%,,3.9,3.1,37,25,55,11,47,5,309,9,49,anunoog01,16,OG Anunoby,SF,24,TOR,48,1728,0.443,15.1,,0.545,0.263,0.125,0.08,0.077,0.455,,0.511,0.689,0.356,0.393,0.278,0.363,,0.464,0.87,,0.109,62,,0.293,0.484,,0,0,anunoog01,2022
