Player,Salary
Ryan Bowen,630850
Rafer Alston,625000
Harold Jamison,600000
Stephen Jackson,590850
Rick Brunson,590850
Troy Hudson,590850
Mark Pope,590850
Jeff McInnis,590850
Shawnelle Scott,590850
Kevin Ollie,590850
Jacque Vaughn,590850
Felipe Lopez,565850
Vladimir Stepania,565850
Sean Marks,565850
Jelani McCoy,565850
Bruno Sundov,565850
Damon Jones,565850
Adrian Griffin,565850
Ruben Wolkowyski,545385
Charles Smith,540850
Raja Bell,540850
Obinna Ekezie,540850
Derrick Dial,540850
Mark Blount,540850
Leon Smith,517360
Rodney Buford,481488
Predrag Drobnjak,478558
Vernon Maxwell,473000
Amal McCaskill,465850
Jabari Smith Sr,465850
Jake Voskuhl,465850
Daniel Santiago,465850
Olumide Oyedeji,465850
Jerome James,465850
Art Long,465850
Lavor Postell,465850
Michael Redd,465850
Jason Hart,465850
Eddie House,465850
Stanislav Medvedenko,465850
Dan Langhi,465850
Brian Cardinal,465850
Zendon Hamilton,465850
Wang Zhizhi,465850
Khalid El-Amin,465850
Eduardo Najera,465850
Soumaila Samake,465850
AJ Guyton,465850
Chris Porter,465850
Lee Nailon,465850
Steve Goodrich,465850
Hanno Mottola,465850
Terence Morris,420000
Bobby Simmons,332817
Jarron Collins,332817
Carlos Arroyo,332817
Ruben Boumtje-Boumtje,332817
Alton Ford,332817
Damone Brown,332817
Alvin Jones,332817
Earl Watson,332817
Maurice Evans,332817
Loren Woods,332817
Malik Allen,332817
Ernest Brown,332817
Willie Solomon,332817
Antonis Fotsis,332817
Norm Richardson,332817
Jamison Brewer,332817
Tierre Brown,332817
Oscar Torres,332817
Gilbert Arenas,332817
Dean Oliver,332817
Ratko Varda,332817
Kenny Satterfield,332817
Jeff Trepagnier,332817
Trenton Hassell,332817
Brian Scalabrine,332817
Omar Cook,292230
Chris Andersen,288171
Sam Mack,174598
Isaiah Rider,112797
Charlie Bell,89292
Tang Hamilton,60881
Joe Crispin,48705
Mike Penberthy,28405
Dickey Simpkins,26190
